RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_v2_000086,3.4,1.1,0.001,0.02,500,30,80,1,15,50,35526.75833,71.05351667,71.01158142,37.18762095,0.9643988609,145.0064697,162.5,220.2936028,207.5,111.6666032,0.4212081446,2.428941475
run_v2_000087,3.4,1.1,0.001,0.02,500,30,85,1,15,50,28873.71131,57.74742262,59.75422478,28.96743579,0,108.9718933,190.5,226.7734138,214.5,112.5250925,0.364592897,2.369373535
run_v2_000088,3.4,1.1,0.001,0.02,500,30,90,1,15,50,24408.85031,48.81770061,49.43693161,23.59031901,1.880818248,97.37037659,171.5,235.7326137,224.5,113.7335106,0.3020880857,2.294525598
run_v2_000089,3.4,1.1,0.001,0.02,500,30,95,1,15,50,20415.11423,40.83022846,41.99302101,19.27657873,0,88.82263184,191.5,240.5782709,229.5,114.2893652,0.2736907582,2.251801095
run_v2_000090,3.4,1.1,0.001,0.02,500,30,100,1,15,50,17563.55963,35.12711925,35.43311882,16.41306324,0.836284399,70.66520691,203.5,246.8971952,237.5,114.5053237,0.2149626698,2.218840029
run_v2_000091,3.4,1.1,0.0015,0.02,500,30,60,1,15,50,112034.1025,224.0682049,170.6711426,178.8066556,5.840281487,586.4190063,100.5,160.258,140.5,97.62272667,0.9135775138,3.488194008
run_v2_000092,3.4,1.1,0.0015,0.02,500,30,65,1,15,50,73024.57528,146.0491506,127.2734604,101.8379442,2.897943497,340.2201538,122.5,179.0028988,160.5,102.8417657,0.749585458,3.05725287
run_v2_000093,3.4,1.1,0.0015,0.02,500,30,70,1,15,50,52226.81141,104.4536228,96.15523148,66.96204599,1.880964994,231.3851166,119.5,192.2579505,175.5,105.6458086,0.6482895281,2.837301945
run_v2_000094,3.4,1.1,0.0015,0.02,500,30,75,1,15,50,39763.36367,79.52672735,76.44577026,47.31481358,1.796947718,169.5950012,126.5,203.8599869,187.5,108.2468438,0.5642445611,2.659942527
run_v2_000095,3.4,1.1,0.0015,0.02,500,30,80,1,15,50,31490.48601,62.98097202,61.77263069,34.70798574,1.898533106,144.293045,156.5,214.5145478,199.5,110.5282859,0.4736226892,2.514773935
run_v2_000096,3.4,1.1,0.0015,0.02,500,30,85,1,15,50,25675.74368,51.35148736,51.35286903,26.64825022,0,108.1283264,201.5,221.7591923,208.5,112.2553955,0.4139710719,2.428149885
run_v2_000097,3.4,1.1,0.0015,0.02,500,30,90,1,15,50,21570.89202,43.14178403,42.54506111,21.54910037,0,95.22099304,151.5,228.5643955,216.5,113.0363637,0.3514318704,2.333265243
run_v2_000098,3.4,1.1,0.0015,0.02,500,30,95,1,15,50,18210.4896,36.42097921,36.80059433,17.65202385,0,82.28787231,197.5,234.9300547,224.5,113.6184567,0.3073670633,2.301362853
run_v2_000099,3.4,1.1,0.0015,0.02,500,30,100,1,15,50,15362.64427,30.72528853,31.10186958,14.81240918,0,64.88694,246.5,239.2641719,229.5,113.6863418,0.2640606461,2.275725493
run_v2_000100,3.4,1.1,0.002,0.02,500,30,60,1,15,50,103475.7096,206.9514193,153.1991272,171.2610706,7.761782646,548.6849976,97.5,155.4399457,136.5,95.29640542,0.9446025228,3.613229365
run_v2_000101,3.4,1.1,0.002,0.02,500,30,65,1,15,50,66758.99906,133.5179981,112.5605545,96.76294592,1.827435255,317.7825928,107.5,173.5068377,155.5,101.3334831,0.7887301591,3.154555036
run_v2_000102,3.4,1.1,0.002,0.02,500,30,70,1,15,50,47515.60893,95.03121786,86.42562485,63.31164856,1.90577817,227.4356689,114.5,187.2057957,170.5,104.2089536,0.6868228437,2.931992436
run_v2_000103,3.4,1.1,0.002,0.02,500,30,75,1,15,50,36024.18224,72.04836448,68.36497116,44.29674911,0.9468485117,166.4820251,141.5,198.175796,181.5,106.8726004,0.5902215211,2.720642046
run_v2_000104,3.4,1.1,0.002,0.02,500,30,80,1,15,50,28339.48951,56.67897902,55.6125145,33.07347738,0.8660196066,123.2610016,174.5,207.7471807,192.5,108.3670228,0.5206988556,2.605200513
run_v2_000105,3.4,1.1,0.002,0.02,500,30,85,1,15,50,23100.83497,46.20166994,45.65175819,25.16278794,0,103.6995697,153.5,215.7276236,201.5,110.5127217,0.4484205533,2.483373897
run_v2_000106,3.4,1.1,0.002,0.02,500,30,90,1,15,50,18970.5504,37.9411008,37.14021683,19.6335734,0,76.5014267,219.5,224.3004722,212.5,111.426093,0.3727441734,2.395678674
run_v2_000107,3.4,1.1,0.002,0.02,500,30,95,1,15,50,15900.08117,31.80016234,32.27916336,16.0992131,0,70.56880951,185.5,229.4745713,216.5,112.3861731,0.3581716673,2.356295778
run_v2_000108,3.4,1.1,0.002,0.02,500,30,100,1,15,50,13472.7232,26.94544641,27.10077095,13.54910605,0,57.88755417,167.5,233.0091864,221.5,112.6082518,0.3090923375,2.319546371
run_v2_000109,3.4,1.1,0.0025,0.02,500,30,60,1,15,50,95749.61657,191.4992331,134.6593704,163.7870647,7.437942505,516.2702637,88.5,151.5017531,132.5,93.44656063,0.9741663003,3.720037346
run_v2_000110,3.4,1.1,0.0025,0.02,500,30,65,1,15,50,61240.51289,122.4810258,101.4743347,93.15038448,2.757247925,307.4303589,107.5,168.5222645,150.5,98.64148958,0.8310607669,3.305720173
run_v2_000111,3.4,1.1,0.0025,0.02,500,30,70,1,15,50,43147.4941,86.2949882,78.28577042,59.73663528,3.733759403,208.2609711,99.5,181.3324535,163.5,102.730366,0.7233757518,3.00874693
run_v2_000112,3.4,1.1,0.0025,0.02,500,30,75,1,15,50,32517.17143,65.03434285,61.24708557,42.02807124,0.9323313236,151.7767639,130.5,193.0287579,176.5,105.0877377,0.6366627176,2.820029353
run_v2_000113,3.4,1.1,0.0025,0.02,500,30,80,1,15,50,25520.01533,51.04003066,48.60617065,31.03890385,0.9186831713,120.4942398,145.5,202.3989704,186.5,106.8763332,0.5564069795,2.672891496
run_v2_000114,3.4,1.1,0.0025,0.02,500,30,85,1,15,50,20825.60131,41.65120262,40.7764473,23.95275166,0,89.09749603,155.5,209.9552666,195.5,108.5471113,0.4938834525,2.56390398
run_v2_000115,3.4,1.1,0.0025,0.02,500,30,90,1,15,50,17011.12772,34.02225544,33.11235619,18.77785639,0.8219408393,73.09536743,190.5,216.0436536,202.5,110.0472291,0.4420355134,2.486057914
run_v2_000116,3.4,1.1,0.0025,0.02,500,30,95,1,15,50,14229.85523,28.45971046,28.97966576,14.87216235,0,64.08665466,146.5,222.5942226,210.5,111.8177931,0.3865503524,2.391225628
run_v2_000117,3.4,1.1,0.0025,0.02,500,30,100,1,15,50,11997.77102,23.99554204,23.66758823,12.34955191,0.6548451185,51.72145081,163.5,228.4127861,216.5,112.1495485,0.3482184738,2.361983373
run_v2_000118,3.4,1.1,0.003,0.02,500,30,60,1,15,50,88501.10397,177.0022079,119.1089973,157.0617872,6.578653336,489.5269165,92.5,146.6294005,127.5,91.47219521,1.018911883,3.883248429
run_v2_000119,3.4,1.1,0.003,0.02,500,30,65,1,15,50,56141.28499,112.28257,92.80523682,88.39625019,0.9067093134,287.9758301,98.5,163.4487358,145.5,97.14624902,0.8690912634,3.403579996
