RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000060,3.4,1.1,0.004,0.01,100,30,85,1,15,50,1475.308241,14.75308241,13.62284422,9.329907805,0,36.3875351,99.5,67.33644259,71.5,23.1918159,-0.6189887616,2.515508393
run_000061,3.4,1.1,0.004,0.01,100,30,90,1,15,50,1111.014973,11.11014973,11.17122364,7.01212889,0,25.67430305,93.5,66.14943837,69.5,23.20557218,-0.5641613571,2.418911815
run_000062,3.4,1.1,0.004,0.01,100,30,95,1,15,50,837.4443029,8.374443029,7.685930729,5.386989636,0,19.45108223,97.5,66.36388958,70.5,23.53638549,-0.6211037034,2.566762966
run_000063,3.4,1.1,0.004,0.01,100,30,100,1,15,50,655.488249,6.55488249,6.590436697,4.24099506,0,18.73695564,92.5,66.35553445,70.5,24.04236001,-0.5736374711,2.380450221
run_000064,3.4,1.1,0.0045,0.01,100,30,60,1,15,50,15750.25407,157.5025407,177.4450378,73.5019142,4.70723629,244.7540283,91.5,62.65642673,64.5,23.88120898,-0.3469271262,2.15972093
run_000065,3.4,1.1,0.0045,0.01,100,30,65,1,15,50,7745.706371,77.45706371,85.89294052,38.68635163,1.847748041,137.411087,90.5,63.83900997,66.5,23.93921669,-0.4081931423,2.200184106
run_000066,3.4,1.1,0.0045,0.01,100,30,70,1,15,50,4504.762947,45.04762947,48.58427811,24.73876211,0.9080619812,85.26622772,94.5,65.06878584,67.5,23.32830792,-0.4797361918,2.356267385
run_000067,3.4,1.1,0.0045,0.01,100,30,75,1,15,50,2833.765313,28.33765313,29.03528214,16.56250831,0,57.0655365,81.5,66.05149238,69.5,23.18601857,-0.511338608,2.363029161
run_000068,3.4,1.1,0.0045,0.01,100,30,80,1,15,50,1943.806719,19.43806719,19.25144482,12.08214346,0.8342481852,43.25213242,82.5,66.98511933,71.5,22.96788796,-0.6140548341,2.554535083
run_000069,3.4,1.1,0.0045,0.01,100,30,85,1,15,50,1435.777095,14.35777095,14.38635397,9.044371082,0,39.05915833,99.5,66.95325469,70.5,23.1031889,-0.6088217113,2.555774069
